bedrooms,bathroom,surface sft,land surface,price,gross tax,strata fee,build year,type,address,city,district,listing id,url,longitude,latitude
5,2,,-1,"300,000",-1.0,-1.0,-1,House,1545 Rue Alfred-DesRochers,Sainte-Catherine,,25270330,https://www.realtor.ca/real-estate/22657367/1545-rue-alfred-desrochers-sainte-catherine,-73.581044,45.395615
3,2,,-1,"300,000",-1.0,-1.0,-1,House,92 Ch. de Mille-Isles,Mille-Isles,,12958139,https://www.realtor.ca/real-estate/22458666/92-ch-de-mille-isles-mille-isles,-74.114218,45.785623
6,4,,-1,"300,000",-1.0,-1.0,-1,House,3 Rue Henri-Lapierre,Verchères,,14371396,https://www.realtor.ca/real-estate/22501716/3-rue-henri-lapierre-verchères,-73.357562,45.775334
4,2,,-1,"302,900",-1.0,-1.0,-1,House,2335 Rue Lambert-Sarazin,Saint-Hyacinthe,,20338976,https://www.realtor.ca/real-estate/22255712/2335-rue-lambert-sarazin-saint-hyacinthe-la-providence,-72.944572,45.612747
2,2,,-1,"304,000",-1.0,-1.0,-1,House,102 Rue Marie-Renée,Varennes,,24535134,https://www.realtor.ca/real-estate/22607869/102-rue-marie-renée-varennes,-73.41738654,45.6889128
3,2,,-1,"305,000",-1.0,-1.0,-1,House,1545 Rue Brébeuf,Sainte-Catherine,,26697835,https://www.realtor.ca/real-estate/22527384/1545-rue-brébeuf-sainte-catherine,-73.56813142,45.39026782
4,2,1140 sqft,-1,"306,000",-1.0,-1.0,-1,House,17 Rue Lauzon,Salaberry-de-Valleyfield,,26766841,https://www.realtor.ca/real-estate/22604782/17-rue-lauzon-salaberry-de-valleyfield-saint-timothée,-74.030108,45.293528
3,2,,-1,"309,000",-1.0,-1.0,-1,House,2226 Rue Bombardier,Marieville,,20764417,https://www.realtor.ca/real-estate/22662623/2226-rue-bombardier-marieville,-73.15143961,45.4310623
3,2,,-1,"309,000",-1.0,-1.0,-1,House,1154 Rue du Moulin-Payet,Saint-Antoine-sur-Richelieu,,12354197,https://www.realtor.ca/real-estate/22660619/1154-rue-du-moulin-payet-saint-antoine-sur-richelieu,-73.17153392,45.78702791
3,2,1110 sqft,-1,"309,000",-1.0,-1.0,-1,House,503 Rue des Cèdres,Beauharnois,,28368488,https://www.realtor.ca/real-estate/22643415/503-rue-des-cèdres-beauharnois-maple-grove,-73.85861908,45.31628713
